Cell line,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,CellLine
OCI-AML-2,-35839.605971996396,-181.12727599050004,7698.081605435455,9725.838332449794,-15667.858600441787,-5307.489215023674,435.8422772445756,-5997.689052456884,-467.93207198962807,-4512.295249933094,Other
OCI-AML-3,-34388.3707048886,-3071.7916306804364,8079.596638912145,10354.035631254359,-16697.036744952748,-6581.329398059944,408.72158383529256,-7043.660388130495,-103.67372106523332,-6087.019429448424,Other
OCI-AML-5,-24108.884034646595,-1968.3580888084628,6294.789682872373,7956.594885119408,-12975.946042683254,-4477.667761348809,901.096823442264,-3660.2512751030063,-43.91980278902257,-4172.6486663558335,Other
NMC-G1,-23907.73825779698,3494.9016555675244,-7823.346607350096,-5245.49640568113,6299.684968657068,-2228.3319179885284,7211.373114836303,-1868.4279851389995,1041.3005748777157,-2197.934641434187,Other
OCI-Ly19,-42640.48940575633,-2496.002551606691,9300.562235692048,11670.627939657566,-17612.605473963733,-4406.145189987663,-1268.770573724226,-4389.388701249956,302.62190481203436,-4598.637958304288,Other
OCI-M1,-21338.20014164842,-4060.4465589896695,5730.417503172553,7286.7368114712235,-11363.141665178082,-2849.8652948342383,-1896.1820879347674,-4460.753456960564,-1313.2416508756157,2253.7185894566437,Other
OCI-My5,-10118.760270478215,-4431.710853082344,11566.800575442474,29886.764547441908,8268.704544910837,4096.110912038582,-5829.100519785511,2246.1532701799024,124.56819927991198,-9723.179588894627,Other
OCI-My7,-49017.25910082379,-5653.110793796068,86383.7930298885,-25872.400547533252,14383.762917188618,-3349.2792700054656,808.4744938220479,-7496.3151755907265,6313.7206512055145,-13065.467673662602,Other
OCUM-1,6776.523456355952,-4580.188751418198,-1748.1615665441186,92.27186672675265,-907.5214809922521,-3104.5428921380544,9856.824547975924,-1279.7701809045766,13.064784907123835,-854.176482656289,Other
OE19,-9263.66994353841,8098.225814629984,-1732.5337101716734,-280.54130960574264,28.320797912901323,-735.88745910302,335.7543144865948,4928.0822225226375,35.28926364359583,390.5210883513422,Other
OE21,123768.9292208105,20955.2525983312,5179.755632160102,1389.2487146171784,-540.2578236675519,-580.092474326175,2914.9829191508147,-6585.620071831518,48.05116826843897,-6999.909548960739,Other
OE33,6567.993230115129,-3056.9564488066494,-696.7408433062591,581.599396832404,-1454.8978848463494,-1846.7534232575065,2356.466483941171,-3044.2205835350396,-524.9131078481222,1427.264039042645,Other
OELE,1282.9934759581326,-3757.5301062951653,-3853.9777471137972,-2037.552185497521,2213.390794256435,-2407.1275606492827,7896.933930004985,-3137.2003905799024,532.1867794369803,-2793.896413396802,Other
ONCO-DG-1,44247.00629237333,-17583.19762501468,-41.663840374555335,218.69014479340248,-132.55894344478227,3139.0650906527617,-10071.916540763777,10056.080527377973,350.18239079095395,1424.7201355672473,Other
ONS-76,47880.5146190067,-1008.157295080425,2161.447967226785,1297.0551553798218,-2063.226613542184,-1261.4368332552838,1631.4055680812573,-8875.836980592518,-1891.0672757645652,13053.204343556712,Other
OPM-1,5059.928132053988,-9834.991751087651,4428.353991778995,3123.899246203996,-3274.0604968615044,10310.90494578086,-10453.3893427564,1270.4978599793756,11664.129520735225,-5453.692718735347,Other
OPM-2,-8488.718201864433,-7182.656533619277,7259.880875646729,6079.922566236702,-7700.317090923445,17511.998781232232,507.54328749531027,-5382.845245809068,26676.314485281095,5915.4440797262105,Other
OS-RC-2,5791.727724500823,-3906.5264354356473,-7965.687533746222,-6400.911555396901,9219.141833412668,1218.0916653581953,-5275.673799019807,-2874.7354106026423,173.40483401898067,-2441.9728738942504,Other
OCI-Ly3,564.9954810852579,-17114.432683497434,6412.0963671880245,7527.285698555208,-11121.331898805975,-541.243107166146,2653.273113956449,965.2996710202167,1908.6065396834445,-4878.664973873914,Other
NHAHTDD,-11649.558778431065,-5859.613595431971,-10498.963284815232,-7830.2286640027905,10718.45413776998,-576.7688724545372,-248.7568552923381,-4168.769645208042,1061.5669889541236,-5881.871462055201,Other
