Cell line,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,CellLine
OC 314,24947.44932103379,-7771.2408490931,2123.527003339984,3758.5582748638176,-3158.528068504776,-489.5723295038349,-5761.827675201394,-166.12221272334375,-1839.427466272425,-57.78580631461227,Other
OCI-AML-2,-35903.92813765517,-21.08356007866268,20042.90988791719,2253.0876190367844,-6566.675162982015,4599.0774316639945,-3021.9775196016253,1333.3612149299922,-42.020374243057134,-1955.0611865778426,Other
OCI-AML-3,-34461.525479713615,-2897.1845884356,21465.45623764375,2816.8161528353476,-8120.750464846318,6647.39508887653,4265.624344462305,1182.8097707992351,536.248818630349,-2734.3781606647294,Other
OCI-AML-5,-24163.680902019445,-1816.6166427094263,16533.282421756605,2389.3211559913716,-4150.180569543735,4291.7560543175405,-454.0822062109513,2313.383281665024,852.6974177061534,-3054.571321028566,Other
NMC-G1,-23994.877213780394,3283.7327183970046,-10970.204379989898,7879.770636683765,-1502.211887801534,2301.2316555129846,-1578.888750179517,5410.07383352558,925.0681987714821,6304.724191082564,Other
OCI-Ly19,-42692.209412517375,-2270.5984191307994,23274.636765227246,311.8371002992653,-5194.02199706348,4729.889680586066,24.450678488399785,1916.856796645739,303.9635408363854,-930.3020928702691,Other
OCI-M1,-21263.436900922952,-3968.932066249399,14008.253020057631,-269.13014387306356,-4262.572497809226,-778.1534139880689,1791.8132822985112,-1768.6370212882048,2608.874330876238,-3131.852342364162,Other
OCI-My5,-9520.348296771766,-3768.4739363912677,11946.241536263537,-5635.004642858186,2615.2634335253447,5002.876583586302,-3622.7184274448086,-2556.686378400283,1108.135965889333,-3033.097741105365,Other
OCI-My7,-45649.49809705093,-1427.0460359259764,19039.08157869811,-1274.661537617806,-2262.1992509014494,4893.2175222866545,-4071.302680222662,73.63269305719543,-1725.3687945130312,-374.1450936952231,Other
OCUM-1,6694.713293369705,-4654.572715503273,-384.7052043195599,10406.43987655821,-980.2256453218482,1673.3019950823941,-584.8546924867356,-5121.22808855656,-1191.8121339328218,12567.766255886881,Other
OE19,-9406.608682811726,7960.250201690735,-1408.2489679432979,-46.939448497670874,3941.709999146105,939.2141450961925,5112.85760677523,-8278.294508005321,1756.170468608539,8233.67471342799,Other
OE21,123808.39486338708,21135.89457819876,3314.198874063876,3379.22984773519,-5466.432324450182,6464.292069919994,-8952.086402484896,-2920.2548799218785,5610.508756766386,-312.3742741130063,Other
